scenario	screenshot	category	status	glyph_median_px	block_height_px	left_px	bottom_px	right_px	top_px	contrast_ratio	background	overflow	text_overlaps	ui_occlusions	failures	hierarchy	text
en day1 swimming	playmode-en-day1-swimming-1280x800.png	exploration-world	FAIL	9.7	32.7	550.7	406.6	711.8	439.3	14.9	world-badge:자원 안내	0			height	[BOOTSTRAP] 김씨 생존기: 무인도/Runtime Placeholder World/Water Search · Food/자원 안내/안내 문구	Swim to Search/Food ×2
en day1 swimming	playmode-en-day1-swimming-1280x800.png	exploration-world	FAIL	9.7	36.1	345.9	337.8	507.0	373.9	14.9	world-badge:자원 안내	0			height	[BOOTSTRAP] 김씨 생존기: 무인도/Runtime Placeholder World/Water Search · Salvage/자원 안내/안내 문구	Swim to Search/Salvage ×2
en day1 swimming	playmode-en-day1-swimming-1280x800.png	ui-info	PASS	12.0	12.3	1155.7	396.6	1252.4	408.9	6.6	ui-image:가방 0	0			none	[BOOTSTRAP] 김씨 생존기: 무인도/Canvas · ui.survival-hud/가방 · icon.resource-tool-set/가방 0/라벨	1. Wood ×2
en day1 swimming	playmode-en-day1-swimming-1280x800.png	ui-info	PASS	12.0	15.5	1165.5	319.6	1241.9	335.1	12.1	ui-image:가방 1	0			none	[BOOTSTRAP] 김씨 생존기: 무인도/Canvas · ui.survival-hud/가방 · icon.resource-tool-set/가방 1/라벨	2. Empty
en day1 swimming	playmode-en-day1-swimming-1280x800.png	ui-info	PASS	12.0	15.5	1165.8	245.9	1241.9	261.3	12.1	ui-image:가방 2	0			none	[BOOTSTRAP] 김씨 생존기: 무인도/Canvas · ui.survival-hud/가방 · icon.resource-tool-set/가방 2/라벨	3. Empty
en day1 swimming	playmode-en-day1-swimming-1280x800.png	ui-info	PASS	12.0	15.4	1165.2	172.1	1241.9	187.5	12.1	ui-image:가방 3	0			none	[BOOTSTRAP] 김씨 생존기: 무인도/Canvas · ui.survival-hud/가방 · icon.resource-tool-set/가방 3/라벨	4. Empty
en day1 swimming	playmode-en-day1-swimming-1280x800.png	ui-info	PASS	16.5	47.3	1073.7	447.4	1332.0	494.8	14.0	ui-image:가방 · icon.resource-tool-set	1			bounds,overflow	[BOOTSTRAP] 김씨 생존기: 무인도/Canvas · ui.survival-hud/가방 · icon.resource-tool-set/가방 제목	4-Slot Expedition Bag/Maximum 2 per stack
en day1 swimming	playmode-en-day1-swimming-1280x800.png	ui-info	PASS	11.6	19.4	234.4	644.4	1045.3	663.8	18.5	ui-image:김씨 독백 · 배치 상태 · effect.comedy-feedback	0			none	[BOOTSTRAP] 김씨 생존기: 무인도/Canvas · ui.survival-hud/김씨 독백 · 배치 상태 · effect.comedy-feedback/김씨 독백 또는 배치 상태	Mr. Kim enters the water. It is colder—and the bag heavier—than expected.
en day1 swimming	playmode-en-day1-swimming-1280x800.png	ui-info	PASS	15.7	44.6	-85.9	727.4	326.9	772.0	18.1	ui-image:상태 HUD	0			bounds	[BOOTSTRAP] 김씨 생존기: 무인도/Canvas · ui.survival-hud/상태 HUD/날짜·상태	DAY 1/3 · Swimming the shallows/Hunger 75 | Energy 94 | Daylight 100
en day1 swimming	playmode-en-day1-swimming-1280x800.png	ui-info	PASS	14.1	40.1	981.9	729.8	1366.9	769.9	14.5	ui-image:상태 HUD	0			bounds	[BOOTSTRAP] 김씨 생존기: 무인도/Canvas · ui.survival-hud/상태 HUD/보유 자원	Wood 2   Stone 1   Food 1   Salvage 0/Signal 0/2   Axe None   Rope None
en day1 swimming	playmode-en-day1-swimming-1280x800.png	ui-info	PASS	9.2	15.4	1165.1	34.0	1319.0	49.4	8.2	ui-image:언어 설정	0			bounds	[BOOTSTRAP] 김씨 생존기: 무인도/Canvas · ui.survival-hud/조작 안내/언어 설정/라벨	English → Korean
en day1 swimming	playmode-en-day1-swimming-1280x800.png	ui-info	PASS	10.0	17.0	-46.2	33.2	1052.9	50.2	18.1	ui-image:조작 안내	0			bounds	[BOOTSTRAP] 김씨 생존기: 무인도/Canvas · ui.survival-hud/조작 안내/조작	Keyboard & Mouse · A/D or stick move · Auto-swim at shore · Space/A jump · E/X search · R/B return · F1/Y language
en day1 swimming	playmode-en-day1-swimming-1280x800.png	world-info	PASS	21.7	22.4	901.8	614.6	908.6	636.9	1.4	screenshot-border-median	0			none	[BOOTSTRAP] 김씨 생존기: 무인도/Runtime Placeholder World/귀환 지점/라벨	CAMP
en day2 exploration	playmode-en-day2-exploration-1280x800.png	exploration-world	FAIL	12.7	12.9	824.6	315.4	915.4	328.4	17.4	world-badge:자원 안내	0			height	[BOOTSTRAP] 김씨 생존기: 무인도/Runtime Placeholder World/Gather · Wood/자원 안내/안내 문구	Wood ×2
en day2 exploration	playmode-en-day2-exploration-1280x800.png	exploration-world	FAIL	9.7	32.7	388.6	406.6	549.6	439.3	14.9	world-badge:자원 안내	0			height	[BOOTSTRAP] 김씨 생존기: 무인도/Runtime Placeholder World/Water Search · Food/자원 안내/안내 문구	Swim to Search/Food ×2
en day2 exploration	playmode-en-day2-exploration-1280x800.png	exploration-world	FAIL	9.7	36.1	183.8	337.8	344.8	373.9	14.9	world-badge:자원 안내	0			height	[BOOTSTRAP] 김씨 생존기: 무인도/Runtime Placeholder World/Water Search · Salvage/자원 안내/안내 문구	Swim to Search/Salvage ×2
en day2 exploration	playmode-en-day2-exploration-1280x800.png	ui-info	PASS	9.2	15.6	1145.8	393.4	1262.3	409.1	2.4	ui-image:가방 0	0			none	[BOOTSTRAP] 김씨 생존기: 무인도/Canvas · ui.survival-hud/가방 · icon.resource-tool-set/가방 0/라벨	1. Salvage ×2
