scenario	screenshot	category	status	glyph_median_px	block_height_px	left_px	bottom_px	right_px	top_px	contrast_ratio	background	overflow	text_overlaps	ui_occlusions	failures	hierarchy	text
en day1 swimming	playmode-en-day1-swimming-1280x800.png	exploration-world	PASS	20.1	67.6	464.6	445.5	797.3	513.1	14.9	world-badge:자원 안내	0			none	[BOOTSTRAP] 김씨 생존기: 무인도/Runtime Placeholder World/Water Search · Food/자원 안내/안내 문구	Swim to Search/Food ×2
en day1 swimming	playmode-en-day1-swimming-1280x800.png	exploration-world	PASS	20.1	74.6	259.8	321.2	592.5	395.8	14.9	world-badge:자원 안내	0			none	[BOOTSTRAP] 김씨 생존기: 무인도/Runtime Placeholder World/Water Search · Salvage/자원 안내/안내 문구	Swim to Search/Salvage ×2
en day1 swimming	playmode-en-day1-swimming-1280x800.png	ui-info	PASS	14.6	14.9	1062.6	334.9	1180.4	349.8	6.6	ui-image:가방 0	0			none	[BOOTSTRAP] 김씨 생존기: 무인도/Canvas · ui.survival-hud/가방 · icon.resource-tool-set/가방 0/라벨	1. Wood ×2
en day1 swimming	playmode-en-day1-swimming-1280x800.png	ui-info	PASS	14.6	18.8	1239.9	331.0	1332.8	349.8	12.1	ui-image:가방 1	0			bounds	[BOOTSTRAP] 김씨 생존기: 무인도/Canvas · ui.survival-hud/가방 · icon.resource-tool-set/가방 1/라벨	2. Empty
en day1 swimming	playmode-en-day1-swimming-1280x800.png	ui-info	PASS	14.6	18.8	1075.0	257.2	1167.6	276.0	12.1	ui-image:가방 2	0			none	[BOOTSTRAP] 김씨 생존기: 무인도/Canvas · ui.survival-hud/가방 · icon.resource-tool-set/가방 2/라벨	3. Empty
en day1 swimming	playmode-en-day1-swimming-1280x800.png	ui-info	PASS	14.6	18.8	1239.5	257.2	1332.8	276.0	12.1	ui-image:가방 3	0			bounds	[BOOTSTRAP] 김씨 생존기: 무인도/Canvas · ui.survival-hud/가방 · icon.resource-tool-set/가방 3/라벨	4. Empty
en day1 swimming	playmode-en-day1-swimming-1280x800.png	ui-info	PASS	14.6	14.9	1070.3	187.3	1170.7	202.2	17.7	ui-image:가방 4	0			none	[BOOTSTRAP] 김씨 생존기: 무인도/Canvas · ui.survival-hud/가방 · icon.resource-tool-set/가방 4/라벨	5. Locked
en day1 swimming	playmode-en-day1-swimming-1280x800.png	ui-info	PASS	14.6	14.9	1235.5	187.3	1336.0	202.3	17.7	ui-image:가방 5	0			bounds	[BOOTSTRAP] 김씨 생존기: 무인도/Canvas · ui.survival-hud/가방 · icon.resource-tool-set/가방 5/라벨	6. Locked
en day1 swimming	playmode-en-day1-swimming-1280x800.png	ui-info	PASS	14.4	41.4	1092.8	450.6	1315.9	492.0	14.0	ui-image:가방 · icon.resource-tool-set	0			bounds	[BOOTSTRAP] 김씨 생존기: 무인도/Canvas · ui.survival-hud/가방 · icon.resource-tool-set/가방 제목	Expedition Bag 4/6/Maximum 2 per stack
en day1 swimming	playmode-en-day1-swimming-1280x800.png	ui-info	PASS	11.6	19.4	234.4	576.4	1045.3	595.8	18.5	ui-image:김씨 독백 · 배치 상태 · effect.comedy-feedback	0			none	[BOOTSTRAP] 김씨 생존기: 무인도/Canvas · ui.survival-hud/김씨 독백 · 배치 상태 · effect.comedy-feedback/김씨 독백 또는 배치 상태	Mr. Kim enters the water. It is colder—and the bag heavier—than expected.
en day1 swimming	playmode-en-day1-swimming-1280x800.png	ui-info	PASS	16.7	47.6	28.9	727.5	469.3	775.1	18.1	ui-image:상태 HUD	0			none	[BOOTSTRAP] 김씨 생존기: 무인도/Canvas · ui.survival-hud/상태 HUD/날짜·상태	DAY 1/3 · Swimming the shallows/Hunger 70 | Energy 94 | Daylight 100
en day1 swimming	playmode-en-day1-swimming-1280x800.png	ui-info	PASS	16.7	47.6	795.8	673.4	1252.1	721.0	14.5	ui-image:상태 HUD	0			none	[BOOTSTRAP] 김씨 생존기: 무인도/Canvas · ui.survival-hud/상태 HUD/보유 자원	Wood 2   Stone 1   Food 0   Salvage 0/Signal 0/2   Axe None   Rope None
en day1 swimming	playmode-en-day1-swimming-1280x800.png	ui-info	PASS	12.8	21.5	1056.7	52.2	1270.9	73.6	8.2	ui-image:언어 설정	0			none	[BOOTSTRAP] 김씨 생존기: 무인도/Canvas · ui.survival-hud/조작 안내/언어 설정/라벨	English → Korean
en day1 swimming	playmode-en-day1-swimming-1280x800.png	ui-info	PASS	12.8	47.6	34.9	39.2	969.0	86.8	18.1	ui-image:조작 안내	0			none	[BOOTSTRAP] 김씨 생존기: 무인도/Canvas · ui.survival-hud/조작 안내/조작	Keyboard & Mouse · A/D move · Auto-swim · Space jump · E search · R return/Replace bag 1–4 · Esc discard · F1 language
en day1 swimming	playmode-en-day1-swimming-1280x800.png	world-info	PASS	21.7	22.4	901.8	614.6	908.6	636.9	1.4	screenshot-border-median	0			none	[BOOTSTRAP] 김씨 생존기: 무인도/Runtime Placeholder World/귀환 지점/라벨	CAMP
en day2 exploration	playmode-en-day2-exploration-1280x800.png	exploration-world	PASS	26.2	26.7	709.7	315.8	897.2	342.5	17.4	world-badge:자원 안내	0			none	[BOOTSTRAP] 김씨 생존기: 무인도/Runtime Placeholder World/Gather · Wood/자원 안내/안내 문구	Wood ×2
en day2 exploration	playmode-en-day2-exploration-1280x800.png	exploration-world	PASS	20.1	67.6	302.5	445.5	635.2	513.1	14.9	world-badge:자원 안내	0			none	[BOOTSTRAP] 김씨 생존기: 무인도/Runtime Placeholder World/Water Search · Food/자원 안내/안내 문구	Swim to Search/Food ×2
en day2 exploration	playmode-en-day2-exploration-1280x800.png	exploration-world	PASS	20.1	74.6	97.7	321.2	430.4	395.8	14.9	world-badge:자원 안내	0			none	[BOOTSTRAP] 김씨 생존기: 무인도/Runtime Placeholder World/Water Search · Salvage/자원 안내/안내 문구	Swim to Search/Salvage ×2
en day2 exploration	playmode-en-day2-exploration-1280x800.png	ui-info	PASS	11.2	37.5	1067.3	323.8	1176.0	361.3	2.4	ui-image:가방 0	0			none	[BOOTSTRAP] 김씨 생존기: 무인도/Canvas · ui.survival-hud/가방 · icon.resource-tool-set/가방 0/라벨	1. Salvage ×2
en day2 exploration	playmode-en-day2-exploration-1280x800.png	ui-info	PASS	14.6	14.9	1226.0	334.9	1345.7	349.8	6.6	ui-image:가방 1	0			bounds	[BOOTSTRAP] 김씨 생존기: 무인도/Canvas · ui.survival-hud/가방 · icon.resource-tool-set/가방 1/라벨	2. Wood ×2
en day2 exploration	playmode-en-day2-exploration-1280x800.png	ui-info	PASS	14.6	14.9	1061.0	261.1	1180.4	276.0	6.6	ui-image:가방 2	0			none	[BOOTSTRAP] 김씨 생존기: 무인도/Canvas · ui.survival-hud/가방 · icon.resource-tool-set/가방 2/라벨	3. Wood ×2
en day2 exploration	playmode-en-day2-exploration-1280x800.png	ui-info	PASS	11.2	37.5	1230.3	250.0	1341.3	287.5	2.4	ui-image:가방 3	0			bounds	[BOOTSTRAP] 김씨 생존기: 무인도/Canvas · ui.survival-hud/가방 · icon.resource-tool-set/가방 3/라벨	4. Salvage ×2
