id	matrix	status	glyph_px	block_height_px	max_block_height_px	line_count	max_lines	left_px	bottom_px	right_px	top_px	player_occlusion_ratio	walking_path_occlusion_ratio	overflow	failures	screenshot	hierarchy
W14-QPS-01.hud_day_status	minimal HUD / day and status	PASS	17.100	54.800	64.000	2	2	130.800	727.100	558.700	781.900	0.000	0.000	0		playmode-qps-long-placement-valid-1280x800.png	[BOOTSTRAP] 김씨 생존기: 무인도/Canvas · ui.survival-hud/상태 HUD/날짜·상태
W14-QPS-02.hud_resources	minimal HUD / resources	PASS	17.100	51.000	64.000	2	2	390.500	667.300	1149.900	718.400	0.000	0.000	0		playmode-qps-long-placement-valid-1280x800.png	[BOOTSTRAP] 김씨 생존기: 무인도/Canvas · ui.survival-hud/상태 HUD/보유 자원
W14-QPS-03.language_button	language button	PASS	17.100	25.500	32.000	1	1	899.100	50.600	1152.400	76.200	0.000	0.000	0		playmode-qps-long-placement-valid-1280x800.png	[BOOTSTRAP] 김씨 생존기: 무인도/Canvas · ui.survival-hud/조작 안내/언어 설정/라벨
W14-QPS-04.bottom_help	minimal HUD / bottom help	PASS	17.000	78.200	96.000	3	3	285.000	22.400	667.100	100.600	0.000	0.000	0		playmode-qps-long-placement-valid-1280x800.png	[BOOTSTRAP] 김씨 생존기: 무인도/Canvas · ui.survival-hud/조작 안내/조작
W14-QPS-05.world_entrance	world badge / entrance	FAIL	0.000	0.000	120.000	0	3	0.000	0.000	0.000	0.000	0.000	0.000	0	canonical-target-count=0		
W14-QPS-06.world_required_path	world badge / required path	FAIL	0.000	0.000	80.000	0	2	0.000	0.000	0.000	0.000	0.000	0.000	0	canonical-target-count=0		
W14-QPS-07.world_signal_anchor	world badge / signal anchor	FAIL	0.000	0.000	108.000	0	3	0.000	0.000	0.000	0.000	0.000	0.000	0	canonical-target-count=0		
W14-QPS-08.placement_status	placement state	EXPECTED_GAP	12.000	12.000	108.000	1	3	527.700	375.700	538.900	387.700	0.006	0.000	0	glyph<16px	playmode-qps-long-placement-valid-1280x800.png	[BOOTSTRAP] 김씨 생존기: 무인도/Runtime Placeholder World/배치 유령 · object.camp-structures/배치 판정/안내 문구
W14-QPS-09.world_expansion_planning	world badge / expansion planning	FAIL	0.000	0.000	64.000	0	2	0.000	0.000	0.000	0.000	0.000	0.000	0	canonical-target-count=0		
W14-QPS-10.world_general_floor	world badge / general floor	FAIL	0.000	0.000	144.000	0	4	0.000	0.000	0.000	0.000	0.000	0.000	0	canonical-target-count=0		
