scenario	screenshot	category	status	glyph_median_px	block_height_px	left_px	bottom_px	right_px	top_px	contrast_ratio	background	overflow	text_overlaps	ui_occlusions	line_count	player_screen_rect	walking_path_screen_rect	player_occlusion_ratio	walking_path_occlusion_ratio	failures	hierarchy	text
en day1 swimming	playmode-en-day1-swimming-1280x800.png	exploration-world	PASS	20.1	67.6	323.2	328.2	600.4	395.8	14.9	world-badge:자원 안내	0			2	x=766.7,y=237.5,w=130.7,h=174.2	x=0.0,y=183.1,w=1280.0,h=81.8	0.0000	0.0000	none	[BOOTSTRAP] 김씨 생존기: 무인도/Runtime Placeholder World/Water Search · Food/자원 안내/안내 문구	Swim to Search/Food ×2
en day1 swimming	playmode-en-day1-swimming-1280x800.png	exploration-world	PASS	20.1	67.6	493.9	445.5	771.1	513.1	14.9	world-badge:자원 안내	0			2	x=766.7,y=237.5,w=130.7,h=174.2	x=0.0,y=183.1,w=1280.0,h=81.8	0.0000	0.0000	none	[BOOTSTRAP] 김씨 생존기: 무인도/Runtime Placeholder World/Water Search · Wood/자원 안내/안내 문구	Swim to Search/Wood ×1
en day1 swimming	playmode-en-day1-swimming-1280x800.png	ui-info	PASS	13.6	45.5	998.5	293.2	1084.6	338.7	3.8	ui-image:가방 0	0			2	x=766.7,y=237.5,w=130.7,h=174.2	x=0.0,y=183.1,w=1280.0,h=81.8	0.0000	0.0000	none	[BOOTSTRAP] 김씨 생존기: 무인도/Canvas · ui.survival-hud/가방 · icon.resource-tool-set/가방 0/라벨	1. Stone ×2
en day1 swimming	playmode-en-day1-swimming-1280x800.png	ui-info	PASS	17.8	22.9	1131.7	301.9	1225.7	324.7	12.1	ui-image:가방 1	0			1	x=766.7,y=237.5,w=130.7,h=174.2	x=0.0,y=183.1,w=1280.0,h=81.8	0.0000	0.0000	none	[BOOTSTRAP] 김씨 생존기: 무인도/Canvas · ui.survival-hud/가방 · icon.resource-tool-set/가방 1/라벨	2. Empty
en day1 swimming	playmode-en-day1-swimming-1280x800.png	ui-info	PASS	17.8	22.9	994.3	228.1	1088.0	251.0	12.1	ui-image:가방 2	0			1	x=766.7,y=237.5,w=130.7,h=174.2	x=0.0,y=183.1,w=1280.0,h=81.8	0.0000	0.0205	none	[BOOTSTRAP] 김씨 생존기: 무인도/Canvas · ui.survival-hud/가방 · icon.resource-tool-set/가방 2/라벨	3. Empty
en day1 swimming	playmode-en-day1-swimming-1280x800.png	ui-info	PASS	17.8	22.8	1131.3	228.1	1225.7	250.9	12.1	ui-image:가방 3	0			1	x=766.7,y=237.5,w=130.7,h=174.2	x=0.0,y=183.1,w=1280.0,h=81.8	0.0000	0.0206	none	[BOOTSTRAP] 김씨 생존기: 무인도/Canvas · ui.survival-hud/가방 · icon.resource-tool-set/가방 3/라벨	4. Empty
en day1 swimming	playmode-en-day1-swimming-1280x800.png	ui-info	PASS	17.8	18.1	989.6	159.0	1091.1	177.1	17.7	ui-image:가방 4	0			1	x=766.7,y=237.5,w=130.7,h=174.2	x=0.0,y=183.1,w=1280.0,h=81.8	0.0000	0.0000	none	[BOOTSTRAP] 김씨 생존기: 무인도/Canvas · ui.survival-hud/가방 · icon.resource-tool-set/가방 4/라벨	5. Locked
en day1 swimming	playmode-en-day1-swimming-1280x800.png	ui-info	PASS	17.8	18.1	1127.2	159.0	1228.9	177.2	17.7	ui-image:가방 5	0			1	x=766.7,y=237.5,w=130.7,h=174.2	x=0.0,y=183.1,w=1280.0,h=81.8	0.0000	0.0000	none	[BOOTSTRAP] 김씨 생존기: 무인도/Canvas · ui.survival-hud/가방 · icon.resource-tool-set/가방 5/라벨	6. Locked
en day1 swimming	playmode-en-day1-swimming-1280x800.png	ui-info	PASS	17.5	50.3	997.5	483.8	1223.3	534.1	14.0	ui-image:가방 · icon.resource-tool-set	0			2	x=766.7,y=237.5,w=130.7,h=174.2	x=0.0,y=183.1,w=1280.0,h=81.8	0.0000	0.0000	none	[BOOTSTRAP] 김씨 생존기: 무인도/Canvas · ui.survival-hud/가방 · icon.resource-tool-set/가방 제목	Expedition Bag 4/6/Maximum 2 per stack
en day1 swimming	playmode-en-day1-swimming-1280x800.png	ui-info	PASS	10.8	39.7	369.1	570.5	911.0	610.2	18.5	ui-image:김씨 독백 · 배치 상태 · effect.comedy-feedback	0			2	x=766.7,y=237.5,w=130.7,h=174.2	x=0.0,y=183.1,w=1280.0,h=81.8	0.0000	0.0000	none	[BOOTSTRAP] 김씨 생존기: 무인도/Canvas · ui.survival-hud/김씨 독백 · 배치 상태 · effect.comedy-feedback/김씨 독백 또는 배치 상태	Mr. Kim enters the water. It is colder—and the bag heavier—than expected.
